date,name,age,city,state,description,link
2012-06-12,Chappell Scott,44,Eagle Point,Oregon,A family member called for an ambulance when Chappell an Afghanistan veteran began behaving erratically. As he struggled with medics an officer attempted to subdue him with a stun gun. The stun gun was ineffective according to a police spokesperson. Chappell stopped breathing en route to the hospital. [59],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-13,Brown Christopher,17,Randallstown,Maryland,An off-duty police officer heard a loud bang at his door. He opened the door to find it damaged by a rock and teens fleeing. The officer gave chase and caught one teen who was wearing a leg brace. A fight between the two ensued. The state medical examiner ruled the teen's death a homicide by asphyxiation. [54],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-13,Gonzales Eric,18,Belleville,Illinois,Police were responding to a disturbance near a restaurant and found two intoxicated men kicking cars. The men fled on foot and during the chase Gonzales allegedly threatened officers with a gun. The teen was shot in the chest and died in the hospital. [55],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-14,Sermeno Oscar,,North Hollywood,California,"Officers chased Sermeno who had just shot and killed two people down the Hollywood Freeway until he exited where he allegedly ""refused to comply with orders"" and reached back into his car to pull out what officers supposed to be a handgun. Seven officers opened fire on Sermeno who was pronounced dead at the scene. A stray bullet grazed a customer at a nearby 7-Eleven. [51]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-14,Davis Shantel,23,Brooklyn,New York,Davis was attempting to flee officers in a stolen car when she crashed and was then shot to death by detective Phil Atkins. The detective entered the vehicle and fired a single round into Davis' chest as she attempted to drive in reverse. Since 2003 Atkins has faced at least six civil suits for brutality. [52],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-14,unnamed male,50,Philadelphia,Pennsylvania,Officers responded to report that a man had pointed a gun at mother and child. When officers arrived the suspect fled in a vehicle. When the officers located the suspect a few blocks away the suspect fired at the officers at least twice. The officers returned fire killing him. [53],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-15,Gutierrez-Morales Bernardo,,El Paso,Texas,Shot to death by an officer after allegedly displaying a knife in a threatening manner. Gutierrez-Morales was 56 and homeless. [46] [47],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-15,Overstreet Joseph Dewey,,North Hollywood,California,Shot to death by an officer after approaching him with a machete and refusing commands to drop the weapon. Police had responded to a 911 call from his wife a witness to the event who said she had called 911 hoping they would put him in jail overnight to sober up. [48],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-15,Salinas Charles,,Sanger,California,"Officers were responding to a report of an armed suicidal person. When they approached the home Salinas fled and hid behind an Auto Zone. After refusing commands from officers officers fired 30-40 rounds at Salinas according to several witnesses. A Fresno County sheriff's official referred to this incident as a ""police officer-assisted suicide."" [49] [50]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-16,Bell Marcus,26,Morrow,Georgia,Bell was shot to death by SWAT team members after a 2 hour standoff at his apartment where the man had locked himself in. Police had responded to a domestic disturbance call. [45],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-17,Robards Larry Wayne,54,Temple,Texas,Robards had taken several hospital staff as hostages in the emergency room. Police had started negotiations when a hostage attempted to grab Robards' gun. An officer shot Robards to end the struggle. [42] [43],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-17,unnamed male,,Apache Junction,Arizona,Officers pursued a suspect in a stolen semi-truck cab who led officers on a high-speed chase. After ramming into a police vehicle and almost hitting two people officers fatally shot the suspect. [44],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-18,Nichols Anthony,32,Lubbock,Texas,Officers responded to Nichols' calls to 911 reporting that he was going to shoot a gun in the vicinity of a school late at night. Officers arrived to find Nichols with a knife and without a gun. Nichols advanced towards the officers with a knife. A canine was sent to take him down but Nichols avoided the canine and charged the officers who shot him. Nichols died at a local hospital. [41],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-19,unnamed male,,Fresno,California,Shot and killed following a high-speed car chase where the man crashed a stolen truck into an occupied vehicle. [37],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-19,Majewski Dennis Jason William,,Quincy,California,"Shot to death by officers after threatening to go on a ""killing spree"". The man was armed with a knife and a hammer. [38] [39]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-19,Howard Robin Leander,,Oklahoma City,Oklahoma,"Howard died of ""acute pneumonia caused by blunt force trauma to the chest"" on June 23. His injuries occurred after an altercation with police. Howard led police on a chase after they attempted to pull him over for traffic violations. [40]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-20,Crestwell Chester Joseph Jr,44,Washington D.C.,Washington D.C.,Police approached a suspect regarding an attempted abduction several days prior. The suspect shot at the officer who returned fire killing the man. [33],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-20,Mason Macadam,39,Thetford,Vermont,Officers responded to a call placed by Mason wherein he threatened to harm himself or others. Mason was hit by a Taser and suffered a cardiac arrest. [34],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-20,unnamed male,,Morrow,Georgia,Shot to death after allegedly pulling out a gun while an officer was patting him down. The man fired the gun at the driver of the vehicle injuring him and reportedly turned the gun at the officers who shot and killed him. Police had pulled over a car containing five people and found that the unnamed man had an outstanding warrant. [35] [36],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-21,Andino Israel,20,Rochester,New York,Andino was shot to death by seven officers called to his home when he stabbed his mother. Andino was diagnosed with bipolar disorder and had not taken medication that day but according to family had never been violent before. His mother says she tried to explain his situation to officers. The 20-year-old was armed with a handgun which officers say he fired but witnesses claim he did not. It was the young man's birthday. [32],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-22,Deen Scott Joseph,19,Redding,California,Deen was shot and killed during a struggle with officers where he allegedly attempted to stab an officer. Police said stun guns were ineffective. Deen had reportedly been siphoning gas from cars in a neighborhood. [29],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-22,Driscoll Leo J.,85,Hurley,Wisconsin,Shot and killed in his apartment by the local SWAT team after he earlier threatened his apartment manager with a handgun. [30],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-22,Smith Malcolm,,Mullins,South Carolina,Killed while fleeing from officers after shooting at them. Family members witnessed his death in the street in front of their home. [31],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-23,McCoy Tommy Jr.,22,Maury City,Tennessee,McCoy was killed following a pursuit that began in Missouri after he reportedly almost hit an officer who was directing traffic around a fire. He was pursued into Tennessee and was shot to death while he fled on foot. [26],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-23,Ramirez Robert,,Oxnard,California,Subject of possible drug overdose died in custody after arrest with physical force. [27],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-23,Godawa Michael,,Elsmere,Kentucky,Godawa and Elsmere police officer David Byrd were involved in an altercation in the parking lot of a bar. Byrd shot Godawa who drove into a utility pole. [28],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-24,Moore Michael,56,Riverdale,Illinois,Officers responded to a report of disturbance between neighbors. Officers arrived to find Moore shooting at another person. Moore refused to put down the weapon and was shot. He was pronounced dead at a local hospital. [23],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-24,Mujtaba Ghulam Yahya,62,Gainesville,Florida,Mujtaba a diagnosed schizophrenic was shot to death by Officers Paul Forsberg and Stephanie Pridgen after approaching them with a knife. They were reportedly unable to subdue the man with tasers. A neighbor had called 911 after Mujtaba threatened him with a knife while doing his laundry. [24],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-24,McDaniel Kendrick Bernard,18,Dallas,Texas,McDaniel was shot and killed around 10:00 a.m. at a Taco Bell by Officer Courtney Howard who was off-duty and getting something to eat. Howard asked McDaniel to come talk to him when he noticed a marijuana joint behind his ear. McDaniel allegedly began cursing at Howard who drew his weapon and demanded the teenager come talk to him. McDaniel attempted to flee and fell and police say he started to draw a handgun from his waistband as he fell. Howard then shot the 18-year-old who died in a hospital that night. This is Howard's second off-duty shooting. [25],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-25,Watson Karl,47,Indio,California,Watson was shot to death after killing a woman and shooting at officers. [21],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-25,Cheatham Elip,27,Johnstown,Pennsylvania,Cheatham was shot and killed by officers when his car allegedly accelerated towards them. [22],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-26,Begay Julian,,Lubbock,Texas,Begay fled after being approached by an officer for suspicious activity. Officer Curtis Fish caught up with Begay shooting and killing him after he allegedly pointed a handgun at the officer. [18],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-26,Ternes Derek,,Fort Worth,Texas,Ternes was shot to death by an officer at a hotel after stealing a laptop from another resident and afterwards shooting and injuring that resident. Officers confronted and killed Ternes who refused to drop his weapon and fired at an officer and missed. [19],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-26,Travis Deshone,20,Port Wentworth,Georgia,Travis was shot to death by officers while inside his car. A police investigation of a robbery led to a home where Travis' car was parked. Travis called his father to tell him that police wanted to impound his car for something related to a robbery and his father told his son he would come talk to them. When he arrived his son was dead. According to the resident of the home police had wanted to search the car but had given Travis back the keys. Travis began to back away and an officer shot him three times from behind the car. [20],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-27,Calhoun Christopher,38,Atlanta,Georgia,Calhoun was shot to death by officers in the Mall West End parking lot. He was a Mississippi fugitive they were seeking. Officers shot and killed him during the arrest attempt. [14] [15],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-27,Davis Trevion,13,Bonanza,Georgia,Clayton County police were responding to a burglary in progress when they shot and killed Davis. [16],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-27,Dowdy Hernandez L.,,Memphis,Tennessee,Officers attempted to pull over Dowdy based on a false carjacking report filed by Erica M. Moore. Dowdy had fled in the car and then on foot and was shot to death by officers when they thought he reached for his waistband. Moore recanted her story the day after Dowdy's death and received a felony charge of making a false offense report. [17],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Whiteshield Benjamin,34,Clinton,Oklahoma,Whiteshield was shot by Clinton police at the station after he confronted an officer with a crescent wrench. Whiteshield was brought to the police station by family because he was acting erratically. [6],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Gonzales Denny,,Antioch,California,Gonzales was shot by seven different officers when he walked out of his house with a gun and allegedly fired at least one round at the police and SWAT team surrounding his home. He had reportedly called 9-1-1 claiming to be suicidal and making statements about killing police officers. [8],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Miller Kyle,21,Broomfield,Colorado,"Miller was shot to death by officers after he pointed a gun at them police say. Miller was actually holding a plastic pellet gun. Family members are recorded on the 911 tape trying to explain to police that the gun was not real and the caller was assured that officers would realize this and were ""not going to go around shooting people."" Miller was schizophrenic struggled with bipolar disorder and had just lost his job. [9]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,O'Hara Charles,59,Cedar Park,Texas,Police were called O'Hara's home by his mother who said he was destroying things in her home. Officers arrived to find O'Hara armed. Five officers and O'Hara exchanged fire and O'Hara was shot to death. [10],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Thomas Christopher Jerome [11],11,Dothan,Alabama,He was shot to death after a short police pursuit where he crashed into an occupied parked vehicle when officers suspected he was attempting to run over an officer. [12],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Ortega Jose Luis,22,Santa Maria,California,Ortega was shot to death by officers as he jumped out of his car and ran behind a truck. Police say Ortega was armed a gang member and a wanted parolee. [13],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-28,Hunter Aaron,19,Tucson,Arizona,Hunter was shot to death by an officer after reaching for a gun that he had dropped while attempting to flee officers. [7],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-29,Moore James Russell,64,Roanoke,North Carolina,An officer stopped Moore for suspected impaired driving. The officer noticed a gun in Moore's pocket and ordered him to the ground. Moore pulled the handgun out of his pocket and pointed at the officer who fatally shot him. [4],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-29,Perales Adrian,26,Greenley,Colorado,Officers approached Perales' residence with an arrest warrant. Perales took a woman hostage and threatened to kill her. After a several-hour standoff officers stormed the apartment killing Perales and freeing the hostage. [5],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-30,Bergseth Adam R.,,Marionville,Missouri,"Police were called to an apartment complex regarding a woman being held against her will. When they arrived a man approached them with a pair of scissors. The officers were ""forced to use lethal force"" according to a highway patrolman and shot him to death. Since the shooting police have discovered human remains in a garbage can outside of the house Bergseth rented. [1] [2]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-06-30,Huey Jared,17,Vallejo,California,Huey was shot and killed by officers after allegedly robbing a convenience store fleeing in a stolen vehicle and pointing a gun at officers. [3],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_June_2012
2012-07-01,Hall Milton,49,Saginaw,Michigan,Police were called to a shopping center by gas station employees complaining of Hall's behavior inside the store. A thirty minute confrontation between officers and Hall who had a knife ended with officers shooting him to death. Officers fired over 40 rounds at Hall who was reportedly homeless. [113] [114],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-01,Castillo Jesus,,Moreno Valley,California,Officers arrived at Moreno Valley Community Park after a report that a man had been harassing children near a restroom. Officers approached Castillo near a concession stand where a struggle ensued. Castillo allegedly attempted to choke the officer who fired and shot Castillo to death. Hundreds of adults and children heard the gunfire. [115],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-01,Smith Harry,59,Anchorage,Alaska,Smith was shot to death by two officers after reportedly pointing an air gun at them. Police say he had threatened to kill family members and himself and that the air gun was designed to look like a pistol. [116],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-01,Wudtee Michael,,Baltimore,Maryland,Officer Paul Heffernan shot and killed Wudtee after witnessing him repeatedly assault his girlfriend in a parking lot. [117] [118],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-02,Laney Michael Deangelo,,Charlotte,North Carolina,"Police spotted Laney riding a scooter that matched a description from an armed robbery a week prior and attempted to stop him but Laney ""took off"" eventually abandoning the scooter and running to his home. Police caught up with Laney and a struggle ensued whereupon the suspect allegedly pulled out a handgun. Officers then shot him to death. [111]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-02,Berg Matthew Lyell,47,Buellton,California,Berg was shot to death on Hwy 101 following a pursuit down Hwy 246 that began with a 911 call about a burglary. After officers attempted to cut him off Berg allegedly rammed into a deputy's car and that deputy opened fire and killed Berg. [112],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-03,Alaya Alex,,Orange Cove,California,Alaya's mother called the police when she became concerned that her son may be suicidal. According to his family Alaya was schizophrenic and having hallucinations and was armed with a knife when police shot him to death. Neighbors said they heard officers yelling for the man to get down and they heard about 5-8 shots. [110],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Owens Edgar,46,New York,New York,Owens was described by police as an emotionally disturbed person who attacked an officer without provocation. After being stabbed in the eye the officer fired four times killing Owens. [104],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Brewer Kent,19,Show Low,Arizona,"Brewer was shot to death in the chest by officers after he allegedly refused to drop the sword he was ""wielding."" Officers were responding to a call about a family fight in the apartment. Brewer was pronounced dead on the scene. [105]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Nazar William,,Turlock,California,Police were responding to a report of an armed suicidal man when Nazar allegedly walked out of his home shooting at officers. Deputy Steve Gerhardt returned fire killing him. [106],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Tobin Marshall,,Vallejo,California,A 911 call about domestic violence led police to a Safeway where they identified Tobin from the caller's description. Officers said they could see Tobin's handgun and after he refused to put his hands on top of his vehicle they tried to subdue him with a taser. Tobin then allegedly reached for his handgun and the officers shot him to death. [107],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Alvarez Vincent,,Tucson,Arizona,"Police were called about a man assaulting someone with a baseball bat. When they arrived officers said Alvarez approached them aggressively with ""a large edged weapon"" and they shot him to death. [108]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-04,Naecker Fritz O.,63,Sandy Spring,Maryland,"Police responded to report of an armed man at a restaurant. The police arrived to find the man in the outdoor patio area of the restaurant ""waving a silver handgun."" Two officers fired at the man when he allegedly turned to enter the restaurant killing him. Police were unsure if the gun was loaded. [109]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-05,Munive Cesar,22,Cicero,Illinois,Officers arrived at the scene of a gang fight prompting the gang members to scatter. Officers chased one suspect about a block at which point he turned and pointed his weapon at the officers. The officers shot the suspect who died at a local hospital. [101] [102],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-05,Durham Keith Jamarcus,,Columbia,South Carolina,Deputy Reginald Grant approached Durham in the parking lot of a Quality Inn when he believed he saw a domestic disturbance. Durham who had a large amount of cocaine in his possession ran from the officer who chased him down and attempted to subdue him with a taser. A struggle ensued and Grant shot Durham multiple times. [103],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-06,Capps Paul Edward,47,Knoxville,Tennessee,Police were called to the home where Capps lived with his mother where Capps had allegedly been assaulting and threatening to kill her. When Officer Brian Leatherwood entered the home Capps began attacking him and hitting the officer with his own flashlight. Officer Leatherwood then shot and killed Capps who was a diagnosed schizophrenic. His family members said that they had never known him to be violent before this incident. [99],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-06,Kirkland James,,Pensacola,Florida,Officers were responding to an armed disturbance call when they shot and killed Kirkland who was reportedly attempting suicide prior to their arrival. Officers said Kirkland lowered his gun at them. [100],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-07,Knight Stephen Lawrence Jr.,31,Charleston,West Virginia,State trooper J.R. Coburn shot and killed Knight who had been handcuffed in the back of a police car but somehow made his way into the driver's seat. Knight reportedly fled in the vehicle and then on foot and in an ensuing struggle with officers allegedly gained control of an officer's weapon. State Trooper Coburn then shot Knight to death in his second killing in six months. [93] [94],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-07,Havard Bryan Reyes,,Plentywood,Montana,Police were led on a high-speed chase by Havard an oil field worker after trying to pull him over for a traffic violation. Havard then fled on foot into a casino allegedly with a pistol where he was shot to death by officers. [95],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-07,Anderson Jeffery,,Aloha,Oregon,"Police were responding to a 911 call of an armed man walking down the street and ""were forced to open fire"" on him. A grandfather of five and husband of 35 years Anderson had been struggling with depression. [96]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-07,Herrera Asencion,17,Sacramento,California,Herrera was walking his blind friend Arturo Istlas (also 17) through the neighborhood at 6 pm (daylight) when they were approached by officers who thought they looked suspicious. When the officers approached the boys they claim they noticed a large assault rifle sticking out of Herrera's shirt and immediately began shooting without any warning according to Istlas. Officers allege the teenager reached for the gun. Family members say they do not know where the gun came from but that it was not loaded. Herrera died on the scene. Istlas was not hurt and says he did not know his friend was armed. [97],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-07,Santillan Juan Pablo Perez,30,Matamoros,Mexico,Santillan was assisting people in illegally crossing the Rio Grande. Some on the Mexican side threw rocks towards agents on the US side. One agent fired across the river when someone was seen aiming a rifle. Santillan was killed by a gunshot on the river bank in Matamoros. Santillan was unarmed. [98],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Miller Adaisha,,Detroit,Michigan,Miller was at her own birthday party when she hugged an off-duty police officer from behind. His service weapon fired puncturing Miller's lung and hitting her heart. [84] [85],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Kaelber Nicholas Allen,21,Mount Vernon,Virginia,Late in the evening officers said they saw two men acting suspiciously; when they approached one man fled. The officers pursued him and a struggle ensued including shots fired at officers by Kaelber according to police. One officer then shot Kaelber who was pronounced dead at a hospital. [86] [87],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Aho Robert Elias,46,North Branch,Minnesota,Aho was shot to death by officers after they were called to a home concerning a domestic disturbance. Upon arrival officers said they learned a man inside had a gun and had fired one shot while they were on their way. Officers said the man then confronted them with the gun and a deputy shot the man who died later in the hospital. [88] [89],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Sampson Marquise,19,Chicago,Illinois,Sampson was shot multiple times in the back by officers as they pursued him. Officers had become suspicious when they saw him running. He had just robbed a restaurant. Police say Sampson had pointed a gun at an officer. [90],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Beltran Justin,,Denton,Texas,Officers were called to a home around 2:30 am by someone who heard a gunshot. They identified a vehicle described by the caller and followed it out of the area. According to officers they were attempting to pull over the vehicle when the driver stepped out with a rifle. Officers say the man refused to drop his weapon and they shot him to death. Beltran was 26. [91],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-08,Fitzgerald Jamie Renée,35,El Cajon,California,Police shot and killed Fitzgerald after she pointed a shotgun at them. She had called 911 saying she wanted to turn over the gun. Her sister told reporters she had recently been released from the hospital because of emotional problems. Fitzgerald died in a hospital nearly one week after the shooting. [92],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-09,Lara Rufino,,Houston,Texas,Two officers were responding to a call about assault outside an abandoned store and began to question a group of men there. Florida Rubio a witness said she made the call at Lara's request because he feared the other men were going to hurt him. Lara attempted to leave the scene refusing an officer's commands to turn around or show his hands. The officer claims she gave commands both in English and Spanish (Lara did not speak English). Rubio said she attempted to tell the officers that Lara needed help but that she was ignored. When Lara did turn around one hand was in his pocket and the officer shot him to death. Lara was unarmed. [79] [80] [81],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-09,Lagueux Jason,35,Litchfield,New Hampshire,Police responded to neighbors' reports of gunshots to find a man on his front porch with a gun. Local and county police as well as state troopers arrived on the scene. Officers report a confrontation occurred. Neighbors report a “loud volley of gunfire.” An autopsy determined that Lagueux died of a single gunshot wound to the back. [82] [83],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-10,Day Karen,44,Wichita,Kansas,"Day's husband Derrick Jackson called police when she showed up at his home despite filing a protection from abuse order against him. He was calling to clarify terms of the order. When officers arrived they were approached by Day who was armed with a knife. Day refused to drop the knife and allegedly told officers ""Shoot me!"" Officers shot her multiple times to death. [76]",http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-10,Jones Brandon,23,St. Louis,Missouri,Officers were responding to a home burglary by three individuals when two of them began shooting at police. In their return fire officers shot Jones to death while the other two suspects fled and were captured. A SWAT team was also present. [77] [78],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-11,Williams Tremayne Marshawn,27,San Bernardino,California,Williams was shot and killed and a woman accompanying him shot and wounded during a police chase through two cities after officers attempted to pull over a stolen vehicle. [73] [74],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-11,Morales Ernesto,,Hartford,Connecticut,Four officers approached three men inside a parked car at an apartment complex around 1 a.m. because of suspicious activity. They ordered the men to show their hands and Morales (the driver) rammed his car into the police cruiser and then allegedly drove at the officers who were on foot. One officer then shot at the vehicle which crashed into the apartment building. Morales was killed and the other two men were injured. [75],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-12,Cox Ronald Jr.,48,Reisterstown,Maryland,Cox was shot and killed after swinging a sword at officers who confronted him in a bedroom of a home. Police were executing a warrant to arrest Cox's niece. [68],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-12,Devilla Victor,43,Worcester,Massachusetts,A state trooper attempted to pull over a vehicle that had been reported stolen when the driver allegedly drove at the trooper who shot Devilla (also reported as Davila) to death. A female passenger fled on foot. [69] [70],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
2012-07-12,Escribano Frank,78,Torrington,Connecticut,An officer responded to a report of an armed man on the highway. Escribano “charged at the trooper armed with a knife.” The officer initially retreated but eventually felt the needed to shoot him. Escribano was pronounced dead at a local hospital. [71],http://en.wikipedia.org/wiki/List_of_killings_by_law_enforcement_officers_in_the_United_States_July_2012
